Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°£,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,ÀüÀÏ´ëºñ,°Å·¡·®,°Å·¡´ë±Ý,´©ÀûÃ¼°á¸Åµµ¼ö·®,´©ÀûÃ¼°á¸Å¼ö¼ö·®,»óÀåÁÖ½Ä¼ö,½Ã°¡ÃÑ¾×,¿Ü±¹ÀÎÁÖ¹®ÇÑµµ¼ö·®,¿Ü±¹ÀÎÁÖ¹®°¡´É¼ö·®,¿Ü±¹ÀÎÇöº¸À¯¼ö·®,¿Ü±¹ÀÎÇöº¸À¯ºñÀ²,¼öÁ¤ÁÖ°¡ÀÏÀÚ,¼öÁ¤ÁÖ°¡ºñÀ²,±â°ü¼ø¸Å¼ö·®,±â°ü´©Àû¼ø¸Å¼ö·®,µî¶ôÁÖ¼±,µî¶ôºñÀ²,¿¹Å¹±Ý,ÁÖ½ÄÈ¸ÀüÀ²
A000545,Èï±¹È­Àç¿ì,20210615,1501,12000.0,12000.0,12000.0,12000.0,0.0,1647.0,19770000.0,0.0,9855.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000545,Èï±¹È­Àç¿ì,20210615,1431,11900.0,11900.0,11900.0,11900.0,0.0,773.0,9200000.0,0.0,8208.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000545,Èï±¹È­Àç¿ì,20210615,1401,11700.0,11700.0,11700.0,11700.0,0.0,1113.0,13020000.0,0.0,7435.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000545,Èï±¹È­Àç¿ì,20210615,1331,11700.0,11700.0,11700.0,11700.0,0.0,347.0,4060000.0,0.0,6322.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000545,Èï±¹È­Àç¿ì,20210615,1301,11650.0,11650.0,11650.0,11650.0,0.0,355.0,4130000.0,0.0,5975.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000545,Èï±¹È­Àç¿ì,20210615,1231,11600.0,11600.0,11600.0,11600.0,0.0,490.0,5690000.0,0.0,5620.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000545,Èï±¹È­Àç¿ì,20210615,1201,11600.0,11600.0,11600.0,11600.0,0.0,500.0,5800000.0,0.0,5130.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000545,Èï±¹È­Àç¿ì,20210615,1131,11500.0,11500.0,11500.0,11500.0,0.0,845.0,9710000.0,0.0,4630.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000545,Èï±¹È­Àç¿ì,20210615,1101,11500.0,11500.0,11500.0,11500.0,0.0,683.0,7860000.0,0.0,3785.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000545,Èï±¹È­Àç¿ì,20210615,1031,11550.0,11550.0,11550.0,11550.0,0.0,563.0,6500000.0,0.0,3102.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
